Date,CallWall,PutWall
2026-06-26,15.0,12.0
2026-06-29,12.5,12.0
2026-06-30,12.5,12.0
2026-07-01,12.5,12.0
2026-07-02,12.5,12.0
2026-07-06,13.5,12.0
2026-07-07,13.5,12.0
2026-07-08,13.5,12.0
2026-07-09,13.5,12.0
2026-07-10,13.5,12.0
2026-07-13,14.0,12.0
2026-07-14,14.0,12.0
2026-07-15,14.0,12.0
2026-07-16,14.0,12.0
2026-07-17,14.0,12.0
2026-07-20,15.0,12.0
2026-07-21,15.0,12.0
2026-07-22,15.0,12.0
2026-07-23,15.0,12.0
2026-07-24,15.0,12.5
2026-07-27,15.0,12.0
2026-07-28,15.0,13.5
2026-07-29,15.0,12.0
2026-07-30,15.0,13.5
2026-07-31,14.0,13.5
2026-08-03,14.5,13.5
2026-08-04,14.5,13.0
2026-08-05,14.5,13.0
2026-08-06,14.5,13.0
2026-08-07,14.5,13.0
2026-08-10,14.5,13.0
2026-08-11,14.5,13.0
2026-08-12,14.5,13.0
2026-08-13,14.5,13.0
2026-08-14,14.5,14.0
2026-08-17,14.5,13.0
2026-08-18,14.5,14.0
2026-08-19,16.0,13.0
2026-08-20,17.0,13.0
2026-08-21,18.0,13.0
2026-08-24,19.0,13.0
2026-08-25,19.0,13.0
2026-08-26,19.0,18.0
2026-08-27,19.0,17.5
2026-08-28,19.0,18.0
2026-08-31,20.0,17.5
2026-09-01,19.0,18.0
2026-09-02,19.0,18.0
2026-09-03,19.5,18.0
2026-09-04,19.5,18.5
2026-09-08,20.0,18.5
2026-09-09,20.0,18.5
2026-09-10,20.0,18.5
2026-09-11,20.0,18.5
2026-09-14,20.0,17.5
2026-09-15,20.0,17.5
2026-09-16,20.0,17.5
2026-09-17,20.0,18.0
2026-09-18,20.0,18.0
2026-09-21,20.0,18.5
2026-09-22,22.0,18.5
2026-09-23,22.0,19.0
2026-09-24,22.0,19.0
